 A	EY
 DOUBTFULLY	D AW T F AH L IY
 DOUBTLESS	D AW T L AH S
 DOUBTS	D AW T S
 DOVETAILING	D AH V T EY L IH NG
 DOWN	D AW N
 DOWNHILL	D AW N HH IH L
 DOWNS	D AW N Z
 DOWNSTAIRS	D AW N S T EH R Z
 DOWNSTREAM	D AW N S T R IY M
 DOWNWARD	D AW N W ER D
 DOWRY	D AW R IY
 DOZED	D OW Z D
 DOZEN	D AH Z AH N
 DR	D R AY V
 DRAG	D R AE G
 DRAGGED	D R AE G D
 DRAGGING	D R AE G IH NG
 DRAINED	D R EY N D
 DRAMA	D R AA M AH
 DRAMATIC	D R AH M AE T IH K
 DRANK	D R AE NG K
 DRAUGHT	D R AE F T
 DRAUGHTS	D R AE F T S
 DRAW	D R AO
 DRAWBACK	D R AO B AE K
 DRAWER	D R AO R
 DRAWERS	D R AO R Z
 DRAWING	D R AO IH NG
 DRAWLED	D R AO L D
 DRAWN	D R AO N
 DRAWS	D R AO Z
 DREAD	D R EH D
 DREADFUL	D R EH D F AH L
 DREADFULLY	D R EH D F AH L IY
 DREAM	D R IY M
 DREAMED	D R IY M D
 DREAMING	D R IY M IH NG
 DREAMS	D R IY M Z
 DREARY	D R IH R IY
 DREGS	D R EH G Z
 DRENCHED	D R EH N CH T
 DRENCHING	D R EH N CH IH NG
 DRESS	D R EH S
 DRESSED	D R EH S T
 DRESSES	D R EH S AH Z
 DRESSING	D R EH S IH NG
 DREW	D R UW
 DRIED	D R AY D
 DRIER	D R AY ER
 DRIFTED	D R IH F T AH D
 DRIFTING	D R IH F T IH NG
 DRINK	D R IH NG K
 DRINKING	D R IH NG K IH NG
 DRIVE	D R AY V
 DRIVEN	D R IH V AH N
 DRIVER	D R AY V ER
 DRIVERS	D R AY V ER Z
 DRIVES	D R AY V Z
 DRIVING	D R AY V IH NG
 DRONING	D R OW N IH NG
 DROOPING	D R UW P IH NG
 DROP	D R AA P
 DROPPED	D R AA P T
 DROPPING	D R AA P IH NG
 DROPS	D R AA P S
 DROVE	D R OW V
 DROWNED	D R AW N D
 DRUG	D R AH G
 DRUMMING	D R AH M IH NG
 DRUNK	D R AH NG K
 DRUNKARD	D R AH NG K ER D
 DRUNKEN	D R AH NG K AH N
 DRUNKENLY	D R AH NG K AH N L IY
 DRY	D R AY
 DUCHESS	D AH CH AH S
 DUCKED	D AH K T
 DUE	D UW
 DUG	D AH G
 DUKE	D UW K
 DULL	D AH L
 DULY	D UW L IY
 DUMBFOUNDED	D AH M F AW N D IH D
 DUMMY	D AH M IY
 DUN	D AH N
 DUNDAS	D AH N D AH Z
 DUNDEE	D AH N D IY
 DUPLICATE	D UW P L AH K AH T
 DUPLICATES	D Y UW P L AH K EY T S
 DURING	D UH R IH NG
 DUSK	D AH S K
 DUST	D AH S T
 DUSTCOAT	D AH S T K OW T
 DUSTY	D AH S T IY
 DUTIES	D UW T IY Z
 DUTY	D UW T IY
 DWELL	D W EH L
 DWELLER	D W EH L ER
 DWELLING	D W EH L IH NG
 DWINDLED	D W IH N D AH L D
 DWINDLING	D W IH N D AH L IH NG
 DYING	D AY IH NG
 E	IY
 EACH	IY CH
 EAGER	IY G ER
 EAGERLY	IY G ER L IY
 EAGERNESS	IY G ER N AH S
 EALING	IY L IH NG
 EAR	IY R
 EARLIER	ER L IY ER
 EARLIEST	ER L IY AH S T
 EARLY	ER L IY
 EARN	ER N
 EARNED	ER N D
 EARNEST	ER N IH S T
 EARNESTLY	ER N AH S T L IY
 EARNING	ER N IH NG
 EARS	IH R Z
 EARSHOT	IH R SH AA T
 EARTH	ER TH
 EARTHLY	ER TH L IY
 EARTHQUAKE	ER TH K W EY K
 EARTHQUAKES	ER TH K W EY K S
 EARTHWARD	ER TH W ER D
 EARTHWORKS	ER TH W ER K S
 EASE	IY Z
 EASIER	IY Z IY ER
 EASILY	IY Z AH L IY
 EAST	IY S T
 EASTERLY	IY S T ER L IY
 EASTERN	IY S T ER N
 EASTWARD	IY S T W ER D
 EASY	IY Z IY
 EAT	IY T
 EATEN	IY T AH N
 EATING	IY T IH NG
 EAVES	IY V Z
 EAVESDROPPERS	IY V AH Z D R AA P AH R Z
 EBBING	EH B IH NG
 EBONY	EH B AH N IY
 ECCENTRIC	EH K S EH N T R IH K
 ECCENTRICITY	EH K S AH N T R IH S AH T IY
 ECHO	EH K OW
 ECHOES	EH K OW Z
 ECLIPSED	IH K L IH P S T
 EDDY	EH D IY
 EDEN	IY D AH N
 EDGE	EH JH
 EDGED	EH JH D
 EDGES	EH JH AH Z
 EDGWARE	EH JH W AH R
 EDITED	EH D AH T AH D
 EDITION	AH D IH SH AH N
 EDITIONS	IH D IH SH AH N Z
 EDITOR	EH D AH T ER
 EDUCATED	EH JH AH K EY T IH D
 EDUCATION	EH JH AH K EY SH AH N
 EDWARD	EH D W ER D
 EERIE	IH R IY
 EFFECT	IH F EH K T
 EFFECTED	IH F EH K T AH D
 EFFECTIVE	IH F EH K T IH V
 EFFECTS	IH F EH K T S
 EFFICIENCY	IH F IH SH AH N S IY
 EFFORT	EH F ER T
 EFFORTS	EH F ER T S
 EGG	EH G
 EGGS	EH G Z
 EGOTISM	IY G AH T IH Z AH M
 EH	EH
 EIGHT	EY T
 EIGHTEEN	EY T IY N
 EIGHTY	EY T IY
 EITHER	IY DH ER
 EJACULATED	IH JH AE K Y AH L EY T IH D
 EJACULATING	IH JH AE K Y AH L EY T IH NG
 EJACULATION	IY JH AE K Y UW L EY SH AH N
 EJECTED	IH JH EH K T IH D
 ELABORATE	IH L AE B R AH T
 ELAPSED	IH L AE P S T
 ELASTIC	IH L AE S T IH K
 ELBOW	EH L B OW
 ELBOWED	EH L B OW D
 ELBOWING	EH L B OW IH NG
 ELBOWS	EH L B OW Z
 ELDER	EH L D ER
 ELDERLY	EH L D ER L IY
 ELECTRIC	IH L EH K T R IH K
 ELECTRIFIED	IH L EH K T R AH F AY D
 ELEMENT	EH L AH M AH N T
 ELEMENTAL	EH L AH M EH N T AH L
 ELEMENTARY	EH L AH M EH N T R IY
 ELEMENTS	EH L AH M AH N T S
 ELEVATION	EH L AH V EY SH AH N
 ELEVEN	IH L EH V AH N
 ELIAS	AH L AY AH S
 ELIMINATED	IH L IH M AH N EY T AH D
 ELISE	AH L IY S
 ELOQUENT	EH L AH K W AH N T
 ELSE	EH L S
 ELUSIVE	IH L UW S IH V
 EM	EH M
 EMACIATION	IH M EY SH IY EY SH AH N
 EMBANKMENT	EH M B AE NG K M AH N T
 EMBARRASSED	IH M B EH R AH S T
 EMBEDDED	EH M B EH D IH D
 EMBELLISH	IH M B EH L IH SH
 EMERGE	IH M ER JH
 EMERGED	IH M ER JH D
 EMERGING	IH M ER JH IH NG
 EMIGRANT	EH M AH G R AH N T
 EMIGRATED	EH M AH G R EY T IH D
 EMOTION	IH M OW SH AH N
 EMOTIONS	IH M OW SH AH N Z
 EMPIRE	EH M P AY ER
 EMPLOY	EH M P L OY
 EMPLOYÉ	IH M P L EH
 EMPLOYED	EH M P L OY D
 EMPLOYER	EH M P L OY ER
 EMPLOYERS	EH M P L OY ER Z
 EMPLOYING	EH M P L OY IH NG
 EMPLOYMENT	EH M P L OY M AH N T
 EMPTIED	EH M P T IY D
 EMPTY	EH M P T IY
 EN	EH N
 ENABLE	EH N EY B AH L
 ENABLED	EH N EY B AH L D
 ENCAMP	IH N K AE M P
 ENCAMPMENT	IH N K AE M P M IH N T
 ENCIRCLED	IH N S ER K AH L D
 ENCLOSE	IH N K L OW Z
 ENCLOSED	EH N K L OW Z D
 ENCLOSURE	EH N K L OW ZH ER
 ENCOMPASS	EH N K AH M P AH S
 ENCOUNTER	IH N K AW N T ER
 ENCOURAGE	EH N K ER IH JH
 ENCOURAGING	EH N K ER IH JH IH NG
 ENCUMBERED	EH N K AH M B ER D
 ENCYCLOPÆDIA	IH N S IH K L AA P D IY AH
 ENCYCLOPÆDIAS	IH N S IH K L AA P D IY AH Z
 END	EH N D
 ENDEAVORED	IH N D EH V ER D
 ENDEAVORING	IH N D EH V ER IH NG
 ENDED	EH N D AH D
 ENDELL	EH N D EH L
 ENDING	EH N D IH NG
 ENDLESS	EH N D L AH S
 ENDS	EH N D Z
 ENDURED	EH N D Y UH R D
 ENEMIES	EH N AH M IY Z
 ENEMY	EH N AH M IY
 ENERGETIC	EH N ER JH EH T IH K
 ENERGETICALLY	EH N ER JH EH T IH K L IY
 ENERGIES	EH N ER JH IY Z
 ENERGY	EH N ER JH IY
 ENGAGE	IH N G EY JH
 ENGAGED	IH N G EY JH D
 ENGAGEMENT	EH N G EY JH M AH N T
 ENGAGING	IH N G EY JH IH NG
 ENGINE	EH N JH AH N
 ENGINEER	EH N JH AH N IH R
 ENGINEERS	EH N JH AH N IH R Z
 ENGINES	EH N JH AH N Z
 ENGLAND	IH NG G L AH N D
 ENGLISH	IH NG G L IH SH
 ENGLISHMAN	IH NG G L IH SH M AH N
 ENGRAVED	IH N G R EY V D
 ENIGMATICAL	EH N IH G M AE T IH K AH L
 ENJOY	EH N JH OY
 ENJOYED	EH N JH OY D
 ENJOYING	EH N JH OY IH NG
 ENLARGED	EH N L AA R JH D
 ENNUI	EH N UW IY
 ENORMOUS	IH N AO R M AH S
 ENOUGH	IH N AH F
 ENQUIRIES	IH N K W AY ER IY Z
 ENSUE	IH N S UW
 ENSUED	IH N S UW D
 ENTAILED	IH N T EY L D
 ENTANGLED	EH N T AE NG G AH L D
 ENTER	EH N T ER
 ENTERED	EH N T ER D
 ENTERING	EH N T ER IH NG
 ENTERPRISE	EH N T ER P R AY Z
 ENTERS	EH N T ER Z
 ENTERTAINING	EH N T ER T EY N IH NG
 ENTHUSIASM	IH N TH UW Z IY AE Z AH M
 ENTHUSIASTIC	IH N TH UW Z IY AE S T IH K
 ENTIRE	IH N T AY ER
 ENTIRELY	IH N T AY ER L IY
 ENTRANCE	EH N T R AH N S
 ENTREATED	EH N T R IY T IH D
 ENTREATIES	EH N T R IY T IY Z
 ENTRIES	EH N T R IY Z
 ENTRY	EH N T R IY
 ENVELOPE	EH N V AH L OW P
 ENVIOUS	EH N V IY AH S
 EPICUREAN	EH P AH K Y UH R IY AH N
 EPISODE	EH P IH S OW D
 EPISODES	EH P IH S OW D Z
 EPISTLE	IH P IH S AH L
 EPSOM	EH P S AH M
 EQUAL	IY K W AH L
 EQUALITY	IH K W AA L AH T IY
 EQUALLY	IY K W AH L IY
 EQUATORIAL	IY K W AH T AO R IY AH L
 EQUINOCTIAL	EH K W AH N AA K AH L
 ERE	EH R
 ERECT	IH R EH K T
 ERECTED	IH R EH K T AH D
 ERRAND	EH R AH N D
 ERRED	EH R D
 ERRONEOUS	EH R OW N IY AH S
 ERROR	EH R ER
 ERUPTION	IY R AH P SH AH N
 ESCAPADE	EH S K AH P EY D
 ESCAPE	IH S K EY P
 ESCAPED	IH S K EY P T
 ESCAPING	IH S K EY P IH NG
 ESCORT	EH S K AO R T
 ESCORTED	EH S K AO R T IH D
 ESHER	EH SH AH R
 ESPECIALLY	AH S P EH SH L IY
 ESQ	EH S
 ESSENCE	EH S AH N S
 ESSENTIAL	EH S EH N SH AH L
 ESSENTIALS	EH S EH N SH AH L Z
 ESTABLISH	IH S T AE B L IH SH
 ESTABLISHED	IH S T AE B L IH SH T
 ESTABLISHING	IH S T AE B L IH SH IH NG
 ESTATE	EH S T EY T
 ESTATES	EH S T EY T S
 ESTIMATE	EH S T AH M AH T
 ETC	EH T S EH T ER AH
 ETHEREGE	EH TH AH R IY JH
 EUROPE	Y UH R AH P
 EUROPEAN	Y UH R AH P IY AH N
 EUSTACE	Y UW S T AH S
 EUSTON	Y UW S T AH N
 EVE	IY V
 EVEN	IY V IH N
 EVENING	IY V N IH NG
 EVENINGS	IY V N IH NG Z
 EVENSONG	IY V AH N S AO NG
 EVENT	IH V EH N T
 EVENTS	IH V EH N T S
 EVENTUALLY	IH V EH N CH AH W AH L IY
 EVER	EH V ER
 EVERY	EH V ER IY
 EVERYBODY	EH V R IY B AA D IY
 EVERYONE	EH V R IY W AH N
 EVERYTHING	EH V R IY TH IH NG
 EVERYWHERE	EH V R IY W EH R
 EVIDENCE	EH V AH D AH N S
 EVIDENT	EH V AH D AH N T
 EVIDENTLY	EH V AH D AH N T L IY
 EVIL	IY V AH L
 EVOLUTION	EH V AH L UW SH AH N
 EVOLVE	IH V AA L V
 EVOLVED	IH V AA L V D
 EX	EH K S
 EXACT	IH G Z AE K T
 EXACTED	IH G Z AE K T IH D
 EXACTING	IH G Z AE K T IH NG
 EXACTLY	IH G Z AE K T L IY
 EXAGGERATED	IH G Z AE JH ER EY T AH D
 EXALTED	IH G Z AO L T IH D
 EXAMINATION	IH G Z AE M AH N EY SH AH N
 EXAMINE	IH G Z AE M IH N
 EXAMINED	IH G Z AE M AH N D
 EXAMINING	IH G Z AE M IH N IH NG
 EXAMPLE	IH G Z AE M P AH L
 EXCAVATING	EH K S K AH V EY T IH NG
 EXCAVATIONS	EH K S K AH V EY SH AH N Z
 EXCEEDED	IH K S IY D AH D
 EXCEEDING	IH K S IY D IH NG
 EXCEEDINGLY	IH K S IY D IH NG L IY
 EXCELLENT	EH K S AH L AH N T
 EXCEPT	IH K S EH P T
 EXCEPTING	EH K S EH P T IH NG
 EXCEPTION	IH K S EH P SH AH N
 EXCEPTIONAL	IH K S EH P SH AH N AH L
 EXCEPTIONALLY	IH K S EH P SH AH N AH L IY
 EXCESS	EH K S EH S
 EXCESSIVE	IH K S EH S IH V
 EXCESSIVELY	IH K S EH S IH V L IY
 EXCHANGE	IH K S CH EY N JH
 EXCHANGED	IH K S CH EY N JH D
 EXCHANGING	IH K S CH EY N JH IH NG
 EXCITABLE	IH K S AY T AH B AH L
 EXCITED	IH K S AY T AH D
 EXCITEDLY	IH K S AY T AH D L IY
 EXCITEMENT	IH K S AY T M AH N T
 EXCITING	IH K S AY T IH NG
 EXCLAIMED	IH K S K L EY M D
 EXCLAMATION	EH K S K L AH M EY SH AH N
 EXCLAMATIONS	EH K S K L AH M EY SH AH N Z
 EXCLUDE	IH K S K L UW D
 EXCLUDED	IH K S K L UW D AH D
 EXCLUSION	IH K S K L UW ZH AH N
 EXCURSION	IH K S K ER ZH AH N
 EXCURSIONISTS	IH K S K ER ZH AH N IH S T S
 EXCURSIONS	IH K S K ER ZH AH N Z
 EXCUSE	IH K S K Y UW S
 EXECUTION	EH K S AH K Y UW SH AH N
 EXEMPTED	IH G Z EH M P T IH D
 EXERCISE	EH K S ER S AY Z
 EXERCISING	EH K S ER S AY Z IH NG
 EXERT	IH G Z ER T
 EXERTION	IH G Z ER SH AH N
 EXHAUSTED	IH G Z AO S T IH D
 EXHAUSTING	IH G Z AO S T IH NG
 EXHAUSTION	IH G Z AO S CH AH N
 EXHIBITED	IH G Z IH B AH T AH D
 EXHILARATING	IH G Z IH L ER EY T IH NG
 EXHORTED	IH G Z AO R T IH D
 EXISTED	IH G Z IH S T AH D
 EXISTENCE	EH G Z IH S T AH N S
 EXISTING	IH G Z IH S T IH NG
 EXIT	EH G Z IH T
 EXODUS	EH K S AH D AH S
 EXPANSE	IH K S P AE N S
 EXPECT	IH K S P EH K T
 EXPECTANCIES	IH K S P EH K T AH N S IY Z
 EXPECTANCY	IH K S P EH K T AH N S IY
 EXPECTANT	IH K S P EH K T AH N T
 EXPECTATION	EH K S P EH K T EY SH AH N
 EXPECTED	IH K S P EH K T AH D
 EXPECTING	IH K S P EH K T IH NG
 EXPEDITION	EH K S P AH D IH SH AH N
 EXPENDITURE	IH K S P EH N D AH CH ER
 EXPENSE	IH K S P EH N S
 EXPENSES	IH K S P EH N S IH Z
 EXPENSIVE	IH K S P EH N S IH V
 EXPERIENCE	IH K S P IH R IY AH N S
 EXPERIENCED	IH K S P IH R IY AH N S T
 EXPERIENCES	IH K S P IH R IY AH N S IH Z
 EXPERT	EH K S P ER T
 EXPIRED	IH K S P AY R D
 EXPIRING	IH K S P AY R IH NG
 EXPLAIN	IH K S P L EY N
 EXPLAINED	IH K S P L EY N D
 EXPLAININ	IH K S P L EY N IH N
 EXPLAINING	IH K S P L EY N IH NG
 EXPLAINS	IH K S P L EY N Z
 EXPLANATION	EH K S P L AH N EY SH AH N
 EXPLANATIONS	EH K S P L AH N EY SH AH N Z
 EXPLODE	IH K S P L OW D
 EXPLODED	IH K S P L OW D AH D
 EXPLODES	IH K S P L OW D Z
 EXPLOSION	IH K S P L OW ZH AH N
 EXPLOSIVES	IH K S P L OW S IH V Z
 EXPOSED	IH K S P OW Z D
 EXPOSTULATING	EH K S P AA S CH AH L EY T IH NG
 EXPOSURE	IH K S P OW ZH ER
 EXPOUND	IH K S P AW N D
 EXPRESS	IH K S P R EH S
 EXPRESSED	IH K S P R EH S T
 EXPRESSION	IH K S P R EH SH AH N
 EXPRESSIONS	IH K S P R EH SH AH N Z
 EXPRESSIVE	IH K S P R EH S IH V
 EXPRESSLY	EH K S P R EH S L IY
 EXQUISITE	EH K S K W AH Z AH T
 EXTEND	IH K S T EH N D
 EXTENDED	IH K S T EH N D AH D
 EXTENDING	IH K S T EH N D IH NG
 EXTENT	IH K S T EH N T
 EXTERMINATE	IH K S T ER M AH N EY T
 EXTERMINATION	IH K S T ER M AH N EY SH AH N
 EXTINCTION	IH K S T IH NG K SH AH N
 EXTINGUISHED	IH K S T IH NG G W IH SH T
 EXTINGUISHES	IH K S T IH NG G W IH SH IH Z
 EXTRA	EH K S T R AH
 EXTRACTS	EH K S T R AE K T S
 EXTRAORDINARY	EH K S T R AH AO R D AH N EH R IY
 EXTRAVAGANT	EH K S T R AE V AH G AH N T
 EXTREME	IH K S T R IY M
 EXTREMELY	IH K S T R IY M L IY
 EXTREMITY	EH K S T R EH M AH T IY
 EXULTANT	IH G Z AH L T AH N T
 EXULTATION	EH K S AH L T EY SH AH N
 EYE	AY
 EYEBROWS	AY B R AW Z
 EYED	AY D
 EYES	AY Z
 EYEWITNESS	AY W IH T N AH S
 EYFORD	EY F AH R D
 F	EH F
 FABRICATION	F AE B R IH K EY SH AH N
 FACE	F EY S
 FACED	F EY S T
 FACES	F EY S AH Z
 FACET	F AE S AH T
 FACILITATE	F AH S IH L AH T EY T
 FACILITY	F AH S IH L IH T IY
 FACING	F EY S IH NG
 FACT	F AE K T
 FACTOR	F AE K T ER
 FACTORY	F AE K T ER IY
 FACTS	F AE K T S
 FACULTIES	F AE K AH L T IY Z
 FAD	F AE D
 FADDY	F AE D IY
 FADE	F EY D
 FADED	F EY D AH D
 FADING	F EY D IH NG
 FADS	F AE D Z
 FAGGED	F AE G D
 FAIL	F EY L
 FAILED	F EY L D
 FAILING	F EY L IH NG
 FAILS	F EY L Z
 FAIN	F EY N
 FAINT	F EY N T
 FAINTED	F EY N T IH D
 FAINTING	F EY N T IH NG
 FAINTLY	F EY N T L IY
 FAINTNESS	F EY N T N AH S
 FAIR	F EH R
 FAIRBANK	F EH R B AH NG K
 FAIRER	F EH R ER
 FAIRLY	F EH R L IY
 FAIT	F EY T
 FAITH	F EY TH
 FAITHFULLY	F EY TH F AH L IY
 FALL	F AO L
 FALLEN	F AA L AH N
 FALLING	F AA L IH NG
 FALLS	F AO L Z
 FALSE	F AO L S
 FAMILIAR	F AH M IH L Y ER
 FAMILIES	F AE M AH L IY Z
 FAMILY	F AE M AH L IY
 FAMISHED	F AE M IH SH T
 FAMOUS	F EY M AH S
 FANCIED	F AE N S IY D
 FANCIER	F AE N S IY ER
 FANCIES	F AE N S IY Z
 FANCIFUL	F AE N S IH F AH L
 FANCIFULLY	F AE N S IY F AH L IY
 FANCY	F AE N S IY
 FANGS	F AE NG Z
 FANLIGHT	F AE N L AY T
 FANTASTIC	F AE N T AE S T IH K
 FAR	F AA R
 FARE	F EH R
 FAREHAM	F EH R HH AE M
 FAREWELL	F EH R W EH L
 FARINTOSH	F AH R IH N T AH SH
 FARM	F AA R M
 FARMHOUSES	F AA R M HH AW S IH Z
 FARMS	F AA R M Z
 FARTHER	F AA R DH ER
 FARTHEST	F AA R DH AH S T
 FARTHING	F AA R DH IH NG
 FASCINATED	F AE S AH N EY T AH D
 FASCINATING	F AE S AH N EY T IH NG
 FASCINATION	F AE S AH N EY SH AH N
 FASHION	F AE SH AH N
 FASHIONABLE	F AE SH AH N AH B AH L
 FASHIONED	F AE SH AH N D
 FAST	F AE S T
 FASTEN	F AE S AH N
 FASTENED	F AE S AH N D
 FASTENER	F AE S AH N ER
 FASTENING	F AE S AH N IH NG
 FASTER	F AE S T ER
 FASTING	F AE S T IH NG
 FAT	F AE T
 FATAL	F EY T AH L
 FATALLY	F EY T AH L IY
 FATE	F EY T
 FATED	F EY T IH D
 FATHER	F AA DH ER
 FATHOM	F AE DH AH M
 FATHOMED	F AE DH AH M D
 FATIGUE	F AH T IY G
 FATIGUED	F AH T IY G D
 FATTENED	F AE T AH N D
 FATTEST	F AE T AH S T
 FAULT	F AO L T
 FAULTS	F AO L T S
 FAVOR	F EY V ER
 FAVORABLY	F EY V ER AH B L IY
 FAVORED	F EY V ER D
 FEAR	F IH R
 FEARED	F IH R D
 FEARLESS	F IH R L AH S
 FEARS	F IH R Z
 FEASIBLE	F IY Z AH B AH L
 FEAT	F IY T
 FEATHER	F EH DH ER
 FEATHERS	F EH DH ER Z
 FEATURE	F IY CH ER
 FEATURELESS	F IY CH ER L AH S
 FEATURES	F IY CH ER Z
 FEBRUARY	F EH B Y AH W EH R IY
 FED	F EH D
 FEE	F IY
 FEEBLE	F IY B AH L
 FEEBLENESS	F IY B AH L N AH S
 FEED	F IY D
 FEEDING	F IY D IH NG
 FEEL	F IY L
 FEELING	F IY L IH NG
 FEELINGS	F IY L IH NG Z
 FEET	F IY T
 FEIGNED	F EY N D
 FELL	F EH L
 FELLED	F EH L D
 FELLOW	F EH L OW
 FELLOWS	F EH L OW Z
 FELONY	F EH L AH N IY
 FELT	F EH L T
 FEMININE	F EH M AH N AH N
 FENCE	F EH N S
 FENCES	F EH N S IH Z
 FENCHURCH	F EH N CH ER CH
 FERGUSON	F ER G AH S AH N
 FEROCIOUS	F ER OW SH AH S
 FERRET	F EH R AH T
 FERRY	F EH R IY
 FERRYBOAT	F EH R IY B OW T
 FERTILITY	F ER T IH L AH T IY
 FESS	F EH S
 FESTIVITIES	F EH S T IH V AH T IY Z
 FETCH	F EH CH
 FETCHED	F EH CH T
 FEVER	F IY V ER
 FEW	F Y UW
 FEWER	F Y UW ER
 FIANCÃ‰	F AY AH NG K
 FICTION	F IH K SH AH N
 FIDELITY	F AH D EH L AH T IY
 FIDGETTED	F IH JH EH T AH D
 FIELD	F IY L D
 FIELDS	F IY L D Z
 FIERCE	F IH R S
 FIERCELY	F IH R S L IY
 FIERY	F AY ER IY
 FIFTEEN	F IH F T IY N
 FIFTH	F IH F TH
 FIFTY	F IH F T IY
 FIGHT	F AY T
 FIGHTERS	F AY T ER Z
 FIGHTING	F AY T IH NG
 FIGURE	F IH G Y ER
 FIGURED	F IH G Y ER D
 FIGURES	F IH G Y ER Z
 FILED	F AY L D
 FILES	F AY L Z
 FILIAL	F IH L IY AH L
 FILL	F IH L
 FILLED	F IH L D
 FILLING	F IH L IH NG
 FILTHY	F IH L TH IY
 FINAL	F AY N AH L
 FINALLY	F AY N AH L IY
 FINANCIER	F IH N AH N S IY R
 FIND	F AY N D
 FINDER	F AY N D ER
 FINDING	F AY N D IH NG
 FINDS	F AY N D Z
 FINE	F AY N
 FINER	F AY N ER
 FINEST	F AY N AH S T
 FINGER	F IH NG G ER
 FINGERS	F IH NG G ER Z
 FINISH	F IH N IH SH
 FINISHED	F IH N IH SH T
 FINNS	F IH N Z
 FIR	F ER
 FIRE	F AY ER
 FIRED	F AY ER D
 FIRELIT	F AY ER L IH T
 FIREMEN	F AY R M AH N
 FIREPLACE	F AY ER P L EY S
 FIRERS	F AY ER ER Z
 FIRES	F AY ER Z
 FIRING	F AY R IH NG
 FIRM	F ER M
 FIRMLY	F ER M L IY
 FIRMNESS	F ER M N AH S
 FIRST	F ER S T
 FISH	F IH SH
 FISHED	F IH SH T
 FISHERS	F IH SH ER Z
 FISTS	F IH S T S
 FIT	F IH T
 FITFUL	F IH T F AH L
 FITS	F IH T S
 FITTED	F IH T AH D
 FITTING	F IH T IH NG
 FIVE	F AY V
 FIVER	F AY V ER
 FIX	F IH K S
 FIXED	F IH K S T
 FLAG	F L AE G
 FLAGGED	F L AE G D
 FLAKES	F L EY K S
 FLAME	F L EY M
 FLAMED	F L EY M D
 FLAMES	F L EY M Z
 FLAMING	F L EY M IH NG
 FLAP	F L AE P
 FLAPPED	F L AE P T
 FLARE	F L EH R
 FLARING	F L EH R IH NG
 FLASH	F L AE SH
 FLASHED	F L AE SH T
 FLASHES	F L AE SH IH Z
 FLASHING	F L AE SH IH NG
 FLASK	F L AE S K
 FLAT	F L AE T
 FLATS	F L AE T S
 FLATTENED	F L AE T AH N D
 FLATTENING	F L AE T AH N IH NG
 FLATTER	F L AE T ER
 FLATTERED	F L AE T ER D
 FLAUBERT	F L AW B ER T
 FLAUNTED	F L AO N T IH D
 FLAW	F L AO
 FLAXEN	F L AE K S AH N
 FLECKED	F L EH K T
 FLED	F L EH D
 FLEECY	F L IY S IY
 FLEET	F L IY T
 FLEETING	F L IY T IH NG
 FLESH	F L EH SH
 FLESHLESS	F L EH SH L AH S
 FLEW	F L UW
 FLEXIBLE	F L EH K S AH B AH L
 FLICKED	F L IH K T
 FLICKER	F L IH K ER
 FLICKERED	F L IH K ER D
 FLICKERING	F L IH K ER IH NG
 FLICKING	F L IH K IH NG
 FLIES	F L AY Z
 FLIGHT	F L AY T
 FLINGING	F L IH NG IH NG
 FLIRTATION	F L ER T EY SH AH N
 FLITTED	F L IH T IH D
 FLOAT	F L OW T
 FLOATING	F L OW T IH NG
 FLOCK	F L AA K
 FLOOD	F L AH D
 FLOODS	F L AH D Z
 FLOOR	F L AO R
 FLOORING	F L AO R IH NG
 FLORA	F L AO R AH
 FLORIDA	F L AO R AH D AH
 FLOURISHED	F L ER IH SH T
 FLOURISHING	F L ER IH SH IH NG
 FLOW	F L OW
 FLOWED	F L OW D
 FLOWER	F L AW ER
 FLOWERS	F L AW ER Z
 FLOWING	F L OW IH NG
 FLUCTUATING	F L AH K CH AH W EY T IH NG
 FLUFFY	F L AH F IY
 FLUID	F L UW AH D
 FLUNG	F L AH NG
 FLURRY	F L ER IY
 FLUSH	F L AH SH
 FLUSHED	F L AH SH T
 FLUSHING	F L AH SH IH NG
 FLUTTER	F L AH T ER
 FLUTTERED	F L AH T ER D
 FLUTTERING	F L AH T ER IH NG
 FLY	F L AY
 FLYING	F L AY IH NG
 FLYS	F L AY Z
 FOAMING	F OW M IH NG
 FOCUS	F OW K AH S
 FOG	F AA G
 FOGS	F AO G Z
 FOIE	F W AA
 FOIL	F OY L
 FOLD	F OW L D
 FOLDED	F OW L D AH D
 FOLDING	F OW L D IH NG
 FOLIAGE	F OW L IH JH
 FOLK	F OW K
 FOLKS	F OW K S
 FOLLOW	F AA L OW
 FOLLOWED	F AA L OW D
 FOLLOWING	F AA L OW IH NG
 FOLLOWS	F AA L OW Z
 FOLLY	F AA L IY
 FOND	F AA N D
 FONDER	F AA N D ER
 FONDNESS	F AA N D N AH S
 FOOD	F UW D
 FOOL	F UW L
 FOOLISH	F UW L IH SH
 FOOLISHLY	F UW L IH SH L IY
 FOOLS	F UW L Z
 FOOT	F UH T
 FOOTFALL	F UH T F AO L
 FOOTFALLS	F UH T F AO L Z
 FOOTING	F UH T IH NG
 FOOTMAN	F UH T M AH N
 FOOTMARKS	F UH T M AA R K S
 FOOTMEN	F UH T M EH N
 FOOTPATH	F UH T P AE TH
 FOOTSTEPS	F UH T S T EH P S
 FOPPISHNESS	F AA P IH SH N AH S
 FOR	F AO R
